tdt_id,subject_code,score,semester_id
19021212,503006,9,20211
19020001,503006,9,20211
19020002,503006,9,20211
19020003,503006,9,20211
19020004,503006,9,20211
19020005,503006,2,20211
19020006,503006,4,20211
19020007,503006,8,20211
19020008,503006,9,20211
19020009,503006,9,20211
19020010,503006,8,20211
19020011,503006,6,20211
19020012,503006,5,20202
19020013,503006,7,20202
19020014,503006,4,20202
19020015,503006,8,20202
19020016,503006,9,20202
19020017,503006,9,20202
19020018,503006,0,20202
19020019,503006,9,20202
19020020,503006,3,20202
19020021,503006,9,20202
19020022,503006,9,20202
19020023,503006,9,20202
19020024,503006,9,20202
19020025,503006,3,20202
19020026,503006,9,20211
19020027,503006,8,20211
19020028,503006,6,20211
19020029,503006,5,20211
19020030,503006,7,20211
19020044,503006,5,20211
19020045,503006,5,20211
19020046,503006,8,20211
19020047,503006,8,20211
19020048,503006,7,20211
19020049,503006,8,20211
19020050,503006,9,20211
19020051,503006,8,20211
19020052,503006,6,20211
19020053,503006,7,20211
19020054,503006,8,20211
19020055,503006,7,20202
19020056,503006,8,20202
19020057,503006,9,20202
19020058,503006,8,20202
19020059,503006,6,20202
19020060,503006,9,20202
